"question","answers"
"Phát hiện nào gây ra mô hình mà một gen làm cho một protein được tinh chế?","phát hiện ra các gen có thể mã hoá nhiều protein"
"Tên của tàu chiến nổi tiếng được chế tạo ở Southampton cho Henry V là gì?","HMS Grace Dieu"
"Thuật ngữ dân tộc nào là một vấn đề được trích dẫn về số lượng báo cáo có chứa nó?","Không được nêu"
"Nhà ga đường sắt chính là gì","Utrecht Centraal là ga đường sắt chính của Utrecht"
"Có bao nhiêu quyền phủ quyết của Andrew Johnson đã bị Quốc hội lật lại","mười lăm"
"Từ nào đã được kết nối với Saint Thomas Christianian of Kerala, Ấn Độ?","Nasrani"
"Đại suy thoái là gì?","suy thoái kinh tế toàn cầu"
"Những loại vật liệu xây dựng nào họ sử dụng?","vô thường"
"Văn phòng kinh doanh CTR ở đâu?","Endicott"
"360 đã có bao nhiêu tựa game ra mắt tại Nhật Bản?","Sáu trò chơi"
"Năm nào chứng kiến ​​sự trục xuất của cộng đồng Do Thái Pháp?","1306"
"Kỷ lục thế giới nào được tổ chức bởi vận động viên Eritrea Zersenay Tadese?","một nửa quãng đường chạy marathon"
"Ai đã làm mặt nạ tử thần của Chopin?","Clésinger"
"Có bao nhiêu tiêu chí được sử dụng để đánh giá một sức mạnh to lớn trong lý thuyết tân thần?","năm"
"Khi nào cuộc tấn công vào nơi cư trú xảy ra?","tháng 11 năm 2008"
"Đại học Bauhaus Weimar được thành lập khi nào?","1860"
"Tiêu đề Ratchet & Clank nào đã ra mắt tại E3 2007?","Ratchet & Clank Future: Tools of Destr phá"
"Imago là gì?","con trưởng thành"
"Văn phòng giao dịch công bằng đã quyết định gì về tuyên bố rằng Sky lạm dụng vị trí của họ vào năm 2002.","Office of Fair Trading năm 2002 cho thấy BSkyB chiếm ưu thế trong thị trường thể thao truyền hình trả tiền, nhưng kết luận rằng không đủ cơ sở cho tuyên bố"
"Những bức tranh đá đáng chú ý nhất nằm ở đâu?","khu phức hợp Laas Geel"
"Ai đặt ra thuật ngữ ""Hellenistic?""","sau Droysen"
"Ngân hàng cỡ trung nào của Anh là nạn nhân đầu tiên của cuộc khủng hoảng tài chính?","Northern Rock"
"Yếu tố thiết kế nào cho phép sử dụng cửa sổ văn thư lớn?","các trụ bay"
"Trường đại học nào có một trong những khoa Tây Tạng nổi bật nhất của Trung Quốc?","Đại học Dân tộc Tây Nam"
"Hầu hết các hành động trong chính phủ liên bang được gọi là gì?","Điều khoản thương mại"
"Một Cassock và Surplice thường bao gồm?","dài đầy đủ Phong cách tiếng Anh cổ"
"Nhóm tôn giáo nào tổ chức lễ hội Eid ul-Fitr ở Hyderabad?","Hồi giáo"
"Vào năm nào, quân đội bắt đầu sử dụng máy bay cánh cố định?","1910"
"Sau sự kiện nào không chắc chắn liệu Shell có khuyến nghị khoan không?","sự kiện ""Kulluk"""
"Bộ Không quân đã lên kế hoạch làm gì với những thất bại của mình?","tấn công anh ta và khả năng của anh ta"
"Hiến pháp bị cấm thành lập ở bang Georgia là gì?","Không một xã hội tôn giáo nào"
"Ai đã lãnh đạo ban nhạc American Idol giữa mùa bốn và chín?","Rickey Minor"
"Những khái niệm nào của Popper thường được viện dẫn trong các cuộc tranh luận về tiến hoá sáng tạo?","tiêu chí giả mạo"
"Bảng phân cảnh được sử dụng rất nhiều bởi những gì?","Hãng phim"
"Các thử nghiệm được coi là kỳ thi nội bộ hay bên ngoài?","nội bộ"
"Tiêu đề của cuốn sách của mẹ Beyonce là gì?","Destiny's Style"
"Điều gì có tiền lệ khi một đạo luật được Nghị viện thông qua mâu thuẫn với một đạo luật được thông qua bởi hội đồng lập pháp của Delhi?","luật do quốc hội ban hành"
"Đến năm 1965, có bao nhiêu phụ nữ Mỹ đã uống Enovid?","6,5 triệu"
"Có bao nhiêu trò chơi giữa các đội FBS và FCS được tính vào tính đủ điều kiện của FBS?","một"
"Cuộc chiến mũi tên là khi nào?","(1856 Ảo60)"
"Melbourne đã duy trì mức tăng dân số cao nhất và tốc độ tăng trưởng kinh tế ở bất kỳ thành phố nào của Úc theo tổ chức nào?","Cục Thống kê Úc"
"Khoảng bao nhiêu dặm dài là Ridge và Thung lũng vùng Tennessee của?","55"
"Thành phố hư cấu của người nhện dựa trên địa điểm thực sự của người Mỹ?","New York"
"Một nhà thờ gothic tiếng Anh đáng chú ý là gì?","Nhà thờ Salisbury"
"Từ ""O"" đã được thay thế bằng từ phổ biến và ưa thích hơn trong tiếng Anh?","oh"
"Điều gì cho phép mọi người di chuyển qua Beringia đến Bắc Mỹ?","mực nước biển rơi"
"Đội bóng nào được thăng hạng Premier League 2011?","Swansea City"
"Các từ động vật thường chỉ được sử dụng để chỉ những gì?","thành viên không phải con người của vương quốc Animalia"
"Bao nhiêu phần trăm là Yale cam kết giảm phát thải khí nhà kính dưới mức 1990 vào năm 2020?","10%"
"Làm thế nào một hành động của trọng tài có thể dẫn đến một cuộc thi không?","mất quyền kiểm soát của trọng tài đối với trận đấu"
"Dự án liên quan đến Steve Wynn có biệt danh là gì?","Dự án hầm"
"Doanh thu từ xa được phân phối ở Premier League như thế nào?","Tiền được chia thành ba phần:"
"Phía nào là một chỉ số ngữ âm nằm trên?","bên tay phải"
"Bên cạnh các quốc gia châu Âu và người Mỹ bản địa, còn ai tấn công khu định cư Charleston?","cướp biển"
"Tuscan có những vị khách đầu tiên của họ cách đây bao lâu?","12.000 năm trước"
"Nhóm của Nakajima đã sử dụng gì để tạo ra một máy ghi âm âm thanh bộ chuyển đổi PCM kỹ thuật số?","máy ghi video Betamax"
"Làm thế nào quan trọng là bia ủ cho người Sumer?","rất quan trọng"
"Các nhà phê bình dựa trên những gì phong trào tìm thấy lỗi trong chủ nghĩa hiện thực khách quan?","hậu hiện đại"
"Theo các chuyên gia giáo dục kinh tế và tài chính gia đình, làm thế nào để thanh thiếu niên phát triển kỹ năng quản lý tiền bạc hợp lý?","tiết kiệm và tiêu tiền"
"Balta gần khu vực nào?","Bessarabia"
"Những gì đã xảy ra sau thảm hoạ?","một nhóm kỹ sư trinh sát quốc tế đã được phái đến khu vực"
"Những loại nhiệm vụ thiếu mục đích?","tìm kiếm sự hoàn hảo hoặc độc đáo"
"Séc phân biệt bao nhiêu giới?","ba"
"Điều gì đầu tiên được sao chép vào RNA như là một trung gian trong sản xuất sản phẩm protein cuối cùng?","Một gen mã hoá protein điển hình"
"Khi nào mùa mở cho cá mú bắt đầu ở Anh?","12 tháng 8"
"Chủ đề của Hội nghị Solvay đầu tiên là gì?","""lý thuyết về bức xạ và lượng tử"""
"Nghiên cứu hiện đại về di truyền học ở cấp độ DNA được gọi là gì?","di truyền phân tử"
"Mô hình bộ xử lý nào được sử dụng trong iPod Touch?","Bộ xử lý A8"
"Loại dịch thuật nào vẫn chính xác và đáng tin cậy nhất?","human"
"Theo Thomas Paine, định nghĩa của Deism là gì?","niềm tin đơn giản vào Thiên Chúa là Đấng Tạo Hoá, không liên quan đến Kinh Thánh hay bất kỳ nguồn thần kỳ nào khác"
"Một ví dụ về một trận chiến bao vây Đức là gì?","Cannae"
"Trường phái nguyên tử tiên tiến nào?","Nyaya về Vaisesika"
"Những gì đã tăng trong những năm 1980?","sự chỉ trích công khai"
"Công ty phát sóng truyền hình nào nằm trong cùng toà nhà với các văn phòng chính của GE tại thành phố New York?","NBC"
"Điều gì buộc tái định cư trên khắp Tajikistan?","Chính sách tập thể hoá của Liên Xô đã mang lại bạo lực đối với nông dân và buộc tái định cư"
"Bình luận tôn giáo thời kỳ Khai sáng, một phần, là một phản ứng với cuộc chiến nào?","Cuộc chiến ba mươi năm"
"Khi nào Albert chết vì bệnh?","14 tháng 12 năm 1861"
"Bộ phận nào tại Notre Dame là bộ phận duy nhất không cung cấp chương trình tiến sĩ?","Khoa nghiên cứu tiền chuyên nghiệp"
"Syria rời UAR vào năm nào?","1961"
"Quan điểm của Popper về chủ nghĩa kinh nghiệm cổ điển là gì?","bác bỏ"
"Cùng với Quần đảo Anh, vùng đất nào mà Carolingian giao dịch?","Scandinavia"
"Mã để phân tách các dòng là gì?","U + 2028"
"Khi nào uỷ thác của Liên Hợp Quốc trên Quần đảo Marshall kết thúc?","1990"
"Nghiên cứu được công bố vào năm nào cho thấy đa dạng sinh học và đa dạng di truyền là phụ thuộc?","2007"
"Có phải các tổ chức chăm sóc sức khoẻ lớn đã hỗ trợ hoặc không khuyến khích sự tương tác giữa bác sĩ và các ngành công nghiệp?","khuyến khích các tương tác lớn hơn"
"Ai là chỉ huy đồn trú đã chết vào ngày 30 tháng 6 năm 1855?","Đô đốc Nakhimov"
"Bao nhiêu phần trăm nhà chung cư ở Bern đã bị chiếm đóng vào năm 2000?","90,6%"
"Cuộc thập tự chinh đầu tiên chiếm Jerusalem vào năm nào?","1099"
"Các nhà khoa học tìm kiếm bằng thạc sĩ có thể quan tâm đến bằng cấp nào khác ngoài Khoa học Truyền thông từ Đơn vị Truyền thông Khoa học?","Sản xuất phương tiện truyền thông khoa học"
"Lý do nào khiến David Quammen tin rằng On the Origin of Species bị suy yếu trong các phiên bản sau này?","Darwin nhượng bộ và thêm chi tiết để giải quyết các chỉ trích của ông"
"Một clepsyrda đã được tìm thấy trong ngôi mộ của Pharaoh nào?","pharaoh Ai Cập Amenhotep"
"Thông thường các điều khoản đã được đưa ra khi tham khảo những gì?","một đặc điểm địa lý"
"Một tính năng của trình chiếu ảnh 360 là gì?","hiệu ứng chuyển tiếp"
"Mahatma Gandhi đã được hoả táng ở vị trí nào?","Rajghat"
"Chính phủ Mexico City đã chuyển đến đâu vào thời điểm nó được tuyên bố là thủ đô của Mexico?","Texcoco"
"Những biện pháp phòng ngừa luôn có tác dụng để ngăn ngừa hen suyễn?","không ai được hỗ trợ đủ để được chỉ định cho chỉ định này"
"Một đặc điểm xác định của phong cách kiến ​​trúc Gothic là gì?","Vòm nhọn"
"Ai đã trình bày ý tưởng phát triển thành DIN?","Robert Luther (de) (1868 ,1945) và Emanuel Goldberg (1881 .1970)"
"Khi nào thì Nhà nghỉ của Edinburgh bắt đầu?","1598"
"Những loại nhạc sĩ nào là Contortions, Teenage Jesus and the Jerks, Mars, DNA, Theoryory Girls và Rhys Chatham?","Không có làn sóng"
"Khu thương mại New Haven đóng góp khoảng bao nhiêu việc làm cho thành phố?","khoảng một nửa"
"Tito đã đến thăm tiểu bang nào của Mỹ khi nhìn thấy U.N.","New York"
"Vào ngày nào, liên minh của Napoleon đã lật đổ Thư mục?","9 tháng 11 năm 1799"
"Sega cuối cùng đã cho phép xuất bản bên thứ ba khi nào?","hè 1988"
"Yuan đã gửi bao nhiêu tàu để xâm chiếm Nhật Bản?","900"
"Những gì một bản nhạc có thể được thực hiện mà không có?","sự hiện diện của nhà soạn nhạc"
"Những gì được các tín đồ Đại thừa sử dụng để đặt tên cho các trường học sớm?","Hinayana"
"Một thuật ngữ khác cho rỉ sét là gì?","đình chỉ"
"Toà án tối cao của Israel nằm ở đâu?","Jerusalem"
"Lãnh sự nào chịu trách nhiệm cho các cải cách cho phép tất cả công dân truy cập vào quân đội La Mã?","Gaius Marius"
"Một thuật ngữ khác cho một phụ âm bị suy yếu là gì?","lenited"
"Güshi Khan đã tặng quà gì cho Đức Đạt Lai Lạt Ma?","cuộc chinh phục Tây Tạng"
"Hai quận Tennessee nào bao gồm khu vực bao gồm Hạt Tennessee của Bắc Carolina?","Quận Montgomery và Hạt Robertson ngày nay"
"Ai đóng vai chính trong The Temptress?","Greta Garbo"
"Chiến lược gia hàng không tranh chấp về những gì?","rằng tinh thần đã từng là một sự cân nhắc lớn cho Bộ tư lệnh Bomber."
"Có bao nhiêu người Hồi giáo đã thiệt mạng trong cuộc xâm lược Banu Qurayza?","Hai"
"Cuộc chiến nào đã làm The Times lần đầu tiên sử dụng phóng viên?","Chiến tranh Crimea"
"Thợ săn đã chi bao nhiêu trong năm 2001?","hơn 20,5 tỷ đô la"
"Nhóm nào chịu trách nhiệm công nhận phép lạ của Paul Vi?","Hội nguyên nhân các Thánh"
"Ai cho rằng bằng cách bao gồm sự hiện diện của một Thiên Chúa toàn tri, sự ích kỷ có thể được kiểm soát và sự hợp tác có thể đạt được?","Matt Rossano"
"Ai là người sở hữu những đàn gia súc lớn sẽ sản xuất nhiều vật nuôi hơn?","Những người theo chủ nghĩa thời đại đồ đá mới"
"Tiếng Nga nào đối xử với các phụ âm cứng tương tự?","Ailen"
"Trẻ em có thể học nghề không?","Một số trẻ em đã làm việc như những người học việc cho các ngành nghề đáng kính"
"Có bao nhiêu thành viên của các dân tộc thiểu số?","400"
"Hành động nào đã được phê duyệt vào ngày 29 tháng 4 năm 2010?","Đạo luật Dân chủ Puerto Rico (H.R. 2499)"
